nct_id,brief_title,sponsor_name,phase,overall_status,start_date,completion_date,enrollment_count,interventions
NCT07610720,"Dalpiciclib, Anti-HER2 Therapy, and Endocrine Therapy for Hormone-Receptor-Positive, HER2-Positive Metastatic Breast Cancer",Sun Yat-sen University,PHASE2,RECRUITING,2026-06-01,2029-11-01,57.0,Dalpiciclib; Trastuzumab (Herceptin); Pertuzumab; Pyrotinib; Endocrine Therapy 1
NCT03840720,The Patient's Journey - the Time to Final Diagnosis in Patients With SiNET,Vastra Gotaland Region,N/A,COMPLETED,2019-02-01,2019-12-31,20.0,
NCT02343120,Study of the Safety and Pharmacokinetics of BGB-3111 in Subjects With B-Cell Lymphoid Malignancies,BeiGene,PHASE1,COMPLETED,2014-09-04,2021-03-31,385.0,Zanubrutinib
NCT03924882,Anlotinib for Patients With Platinum Resistant or Refractory Ovarian Cancer,"Second Affiliated Hospital, Zhejiang University, School of Medicine",PHASE2,UNKNOWN,2019-04-25,2022-04-25,30.0,Anlotinib
NCT06346782,Feasibility and Acceptability of Internet-based Parent-child Interaction Therapy (I-PCIT) in Pediatric Cancer,Johns Hopkins All Children's Hospital,NA,RECRUITING,2024-02-19,2028-08-01,300.0,Internet-Based Parent-Child Interaction Therapy
NCT00923182,A Safety Confirmatory Study of Alemtuzumab in Japanese Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia,"Genzyme, a Sanofi Company",PHASE1,COMPLETED,2010-02,2011-08,6.0,alemtuzumab
NCT06660082,Early Rehabilitation Using Head Impulse Test for Acute Vestibular Deficit,Hospices Civils de Lyon,NA,RECRUITING,2025-05-13,2027-05,26.0,Experimental treatment: Head movements; Sham treatment: only eye movements
NCT01807182,Tumor-Infiltrating Lymphocytes After Combination Chemotherapy in Treating Patients With Metastatic Melanoma,Fred Hutchinson Cancer Center,PHASE2,COMPLETED,2013-08-20,2021-08-26,11.0,Aldesleukin; Cyclophosphamide; Fludarabine Phosphate; Laboratory Biomarker Analysis; Therapeutic Tumor Infiltrating Lymphocytes
NCT06312124,A Study of Opportunistic Salpingectomy to Prevent Ovarian Cancer,Memorial Sloan Kettering Cancer Center,NA,RECRUITING,2024-03-08,2028-03-08,266.0,Educational Module; Salpingectomy
NCT07032324,A Clinical Study Exploring CT1190B in the Treatment of Patients With Relapsed/Refractory B-cell Non-Hodgkin Lymphoma ( CT1190B-CG1101 ),Qian Wenbin,PHASE1,NOT_YET_RECRUITING,2025-07-08,2026-12-30,27.0,CAR T cells
NCT01110824,Prevention of Left Ventricular Dysfunction During Chemotherapy,Hospital Clinic of Barcelona,PHASE3,COMPLETED,2008-04,2012-03,90.0,Enalapril and carvedilol
NCT02984124,Communication During Hospitalization About Resuscitation Trial,University of Vermont,PHASE2,COMPLETED,2016-12,2025-12,182.0,Informed Assent Discussion; Usual Care with Attention Control
NCT04389424,"Relationship Between Body Composition, Food Consumption, and Micro and Macronutrients With Gene Expression in Breast Cancer",Instituto Jalisciense de Cancerologia,N/A,UNKNOWN,2017-09-01,2022-01-30,300.0,Tamoxifen; Exemestane; Anastrozole; Basal; Recurrence
NCT01547923,Pre-therapeutic Identification of Dihydropyrimidine Dehydrogenase Gene (DPD) Deficiency for Predicting Toxicity to Fluoropyrimidines,Institut Cancerologie de l'Ouest,NA,TERMINATED,2008-06-16,2013-03-04,1142.0,Blood sample for phenotypic and pharmacogenetic analysis.; Blood sample for phenotypic and pharmacogenetic analysis.
NCT07820423,Multimodal AI Predicts High-risk Pathology in Lung Cancer Associated With Cystic Airspaces,Central South University,N/A,RECRUITING,2025-05-01,2026-12-31,600.0,
NCT00416559,Observation of Young Patients With Localized Neuroblastoma Who Have Undergone Surgery Only,Children's Cancer and Leukaemia Group,PHASE2,UNKNOWN,2004-12,,140.0,clinical observation
NCT02964559,Pembrolizumab in Patients With Locally Advanced or Metastatic Skin Cancer,Emory University,PHASE2,COMPLETED,2017-01-27,2021-05-18,11.0,Pembrolizumab
NCT00980759,Prophylactic Irradiation of the Para-Aortic Lymph Nodes in Locally Advanced Uterine Cervical Cancer,"National Cancer Center, Korea",NA,UNKNOWN,2006-07-28,2024-12-31,312.0,EFI; Pelvic RT
NCT03511859,Detecting Circulating Tumor Cells (CTCs) and Cell Free DNA (cfDNA) in Peripheral Blood of Breast Cancer (BC) Patients to Develop the Clinical Application for Early Detection and Diagnostics,CellMaxLife,N/A,UNKNOWN,2017-11-16,2019-12-31,210.0,
NCT06435559,CHEmotherapy and Cognitive Deterioration in Patients With Operable Breast Cancer: Impact of Cognitive Rehabilitation (CHEMOFOG),"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",NA,UNKNOWN,2024-06-01,2026-06-01,128.0,Neurotablet® and Neuropsychological evaluations; Neuropsychological evaluations
NCT03974659,Enhanced Recovery After Surgery Using TMS on Cerebellar Language Area for Brain Tumor Patients,Huashan Hospital,NA,UNKNOWN,2018-10-30,2021-10-30,106.0,Transcranial magnetic stimulation
NCT00911859,A Study to Compare CNTO 328 (Anti-IL-6 Monoclonal Antibody) and VELCADE-Melphalan-Prednisone (VMP) With VMP Alone in Previously Untreated Multiple Myeloma Patients,"Janssen Research & Development, LLC",PHASE2,COMPLETED,2009-06,2013-04,118.0,Siltuximab11 mg/kg; Siltuximab 8.3 mg/kg or 11 mg/kg; Velcade (bortezomib); Velcade (bortezomib); Melphalan; Melphalan; Prednisone; Prednisone; Velcade (bortezomib); Melphalan; Prednisone
NCT06930859,Non-interventional Study to Assess the Effectiveness and Safety of Ribociclib in the Adjuvant Therapy of Hormone Receptor Positive (HR+) HER2-negative Stage II and III Breast Cancer in Real Clinical Practice in Russia,Novartis Pharmaceuticals,N/A,RECRUITING,2025-12-03,2032-12-31,2766.0,Ribociclib; Letrozole; Anastrozole
NCT03148080,Work Ability in Young Adult Cancer Survivors,Wake Forest University Health Sciences,N/A,COMPLETED,2018-03-13,2022-07-29,214.0,Cognitive Assessment; Questionnaire Administration
NCT00142480,"Capecitabine, Oxaliplatin, Bevacizumab and Radiation Therapy in Patients With Biliary Tract and Gallbladder Cancer",Massachusetts General Hospital,PHASE2,COMPLETED,2004-12,2011-04,8.0,Capecitabine; Oxaliplatin; Bevacizumab; Radiation therapy
NCT04061980,Encorafenib and Binimetinib With or Without Nivolumab in Treating Patients With Metastatic Radioiodine Refractory BRAF V600 Mutant Thyroid Cancer,Providence Health & Services,PHASE2,ACTIVE_NOT_RECRUITING,2020-10-30,2028-12-30,24.0,Binimetinib; Encorafenib; Nivolumab
NCT00948480,Vaccine Biotherapy of Cancer: Autologous Tumor Cells and Dendritic Cells,Hoag Memorial Hospital Presbyterian,PHASE2,COMPLETED,2000-10,2007-09,56.0,Autologous tumor cells plus dendritic cells; GM-CSF
NCT04156880,Artificial Intelligence in Mammography-Based Breast Cancer Screening,Chinese University of Hong Kong,N/A,WITHDRAWN,2020-07-01,2023-12-31,0.0,mammography
NCT02274779,Salvage Radiotherapy Combined With Hormonotherapy in Oligometastatic Pelvic Node Relapses of Prostate Cancer,Institut Cancerologie de l'Ouest,PHASE2,COMPLETED,2014-08-20,2024-07-22,74.0,ELIGARD
NCT03204279,PK/PD Study of Netupitant and Palonosetron in Pediatric Patients for Prevention of Chemotherapy-induced Nausea and Vomiting,Helsinn Healthcare SA,PHASE2,COMPLETED,2017-08-31,2019-09-30,67.0,Netupitant; Palonosetron; Netupitant; Palonosetron
NCT00003996,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,Alliance for Clinical Trials in Oncology,PHASE2,COMPLETED,1999-05,2008-05,93.0,carmustine; chemotherapy; cisplatin; etoposide; radiation therapy
NCT07603596,Opioid-free Anesthesia and Postoperative Delirium,Qianfoshan Hospital,PHASE1,NOT_YET_RECRUITING,2026-05-01,2028-06-30,174.0,OFA group; OBA group
NCT05882396,Rood's Approach and Oxaliplatin-induced Peripheral Neuropathy in Colorectal Cancer Patients,Cairo University,NA,UNKNOWN,2023-06-01,2024-01-11,60.0,Rood's approach; Traditional physical therapy program
NCT00374062,Effect of the Subconscious on Mohs Micrographic Surgery,Northwestern University,NA,COMPLETED,2007-12,2009-08,150.0,relaxation therapy 1; relaxation therapy 2; relaxation therapy 3
NCT07798362,Iriscope for the Diagnosis of Peripheral Pulmonary Lesions: a Multicentre Randomised Controlled Trial,Erasme University Hospital,NA,NOT_YET_RECRUITING,2026-09,2028-09,140.0,Use of Iriscope via guide sheath to guide biopsies; Bronchoscopy
NCT04298762,The Effect of Peer Comparison Emails on Oncologists' Documentation of Cancer Stage,Harvard School of Public Health (HSPH),NA,COMPLETED,2018-07-01,2019-09-30,56.0,No peer comparison email; Peer comparison email
NCT04471974,"ZEN-3694, Enzalutamide, and Pembrolizumab for the Treatment of Metastatic Castration-Resistant Prostate Cancer",Rahul Aggarwal,PHASE2,ACTIVE_NOT_RECRUITING,2021-01-26,2028-05-31,61.0,BET Bromodomain Inhibitor ZEN-3694; Enzalutamide; Pembrolizumab
NCT01417390,Study of Neoadjuvant Gemcitabine and Cisplatin in Locoregionally Advanced Nasopharyngeal Carcinoma,First People's Hospital of Foshan,PHASE2,UNKNOWN,2011-11,2015-12,80.0,Drug: Gemcitabine and cisplatin; Cisplatin
NCT00079118,Irinotecan and Docetaxel in Treating Patients With Refractory Metastatic Breast Cancer,Alliance for Clinical Trials in Oncology,PHASE2,COMPLETED,2004-04,2010-12,70.0,docetaxel; irinotecan hydrochloride
NCT05535218,"Pembrolizumab-Sacituzumab Govitecan Combination to Treat High-risk, Localized Bladder Cancer",Claudia Guerrieri,PHASE2,ACTIVE_NOT_RECRUITING,2023-09-20,2027-02,48.0,"Sacituzumab govitecan is a humanized mAb with a hydrolysable linker through which SN-38 is conjugated to the humanized mAb hRS7 IgG1κ to enhance the delivery of SN-38 to Trop-2- expressing tumors, whi"
NCT01009190,A Study Of Poly (ADP-Ribose) Polymerase Inhibitor PF-01367338 In Combination With Several Chemotherapeutic Regimens,pharmaand GmbH,PHASE1,COMPLETED,2010-02,2014-04,85.0,PF-01367338; Carboplatin; PF-01367338; Carboplatin
NCT01948297,Debio 1347-101 Phase I Trial in Advanced Solid Tumours With Fibroblast Growth Factor Receptor (FGFR) Alterations,Debiopharm International SA,PHASE1,TERMINATED,2013-08,2020-06-26,77.0,Debio1347 (CH5183284)
NCT04952597,Study of Ociperlimab Plus Tislelizumab Plus Chemoradiotherapy in Participants With Untreated Limited-Stage Small Cell Lung Cancer,BeiGene,PHASE2,COMPLETED,2021-07-15,2023-07-26,126.0,Ociperlimab; Tislelizumab; Concurrent Chemoradiotherapy
NCT07264010,"Sorafenib Combined With Venetoclax as Pre-emptive Therapy Strategy for MRD+ AML: a Prospective, Single-arm, Multicenter Clinical Study","Nanfang Hospital, Southern Medical University",PHASE2,NOT_YET_RECRUITING,2025-12-01,2028-12-30,87.0,Sorafenib (SORA); Venetoclax (VEN)
NCT06108310,ArTificial inTelligence-based RAdiogenomics in Colon Tumors,University of Roma La Sapienza,N/A,UNKNOWN,2021-01-02,2025-12-31,500.0,
NCT07093710,Golidocitinib Combined With Mitoxantrone Hydrochloride Liposome or Chidamide in the Treatment of Relapsed or Refractory Peripheral T-cell Lymphoma,Sun Yat-sen University,PHASE1,RECRUITING,2025-08-27,2029-08-01,101.0,Golidocitinib; Mitoxantrone Hydrochloride Liposome; Chidamide
NCT07274813,"A Phase I Study to Evaluate the Safety, Tolerability, and PK of HLX37 in Advanced/Metastatic Solid Tumors",Shanghai Henlius Biotech,EARLY_PHASE1,RECRUITING,2025-12-29,2028-12-30,254.0,HLX37
NCT03317613,Clinical Trial Assessing the Efficacy of Capsaicin Patch (Qutenza®) in Cancer Patients With Neuropathic Pain,Centre Hospitalier Universitaire de Saint Etienne,PHASE2,COMPLETED,2017-11-09,2021-12-20,84.0,Qutenza
NCT02982720,Evaluating Combination Immunotherapy for Advanced Cholangiocarcinoma With Pembrolizumab and PEG-Intron,"Aiwu Ruth He, MD",PHASE2,TERMINATED,2017-07-05,2018-02-09,4.0,Pembrolizumab; Sylatron
NCT01323920,Bortezomib-based GVHD Prophylaxis After Allogeneic Transplant for Patients Without Matched Related Donors,Dana-Farber Cancer Institute,PHASE2,COMPLETED,2011-05,2013-11,35.0,Bortezomib; Tacrolimus; Methotrexate
NCT02530320,"Safety and Efficacy of PD0332991 (Palbociclib), a Cyclin-dependent Kinase 4 and 6 Inhibitor, in Patients With Oligodendroglioma or Recurrent Oligoastrocytoma Anaplastic With the Activity of the Protein RB Preserved",Grupo Español de Investigación en Neurooncología,PHASE2,COMPLETED,2015-10-25,2020-03,34.0,Palbociclib
NCT04340882,Phase 2 DoceRamPem for Patients With Metastatic or Recurrent NSCLC Who Progressed on Platinum-Doublet and PD-1/PD-L1 Blockade,Emory University,PHASE2,ACTIVE_NOT_RECRUITING,2020-06-05,2030-09-30,30.0,Docetaxel; Pembrolizumab; Ramucirumab
NCT07255482,Mortality Benefit of Ultrasound for Thyroid Nodules Identified With PET Imaging: Non-Inferiority Emulated Target Trial,Brigham and Women's Hospital,N/A,COMPLETED,2025-10-15,2026-08-04,874.0,Thyroid Ultrasound
NCT02632682,Confocal Laser Endomicroscopy vs Conventional Histology for the Identification of Intestinal Metaplasia,Minnesota Institute for Minimally Invasive Surgery,N/A,COMPLETED,2016-02,2016-09,172.0,
NCT02285582,International Rare Histiocytic Disorders Registry (IRHDR),The Hospital for Sick Children,N/A,RECRUITING,2014-10,2028-09,400.0,Registry study
NCT03215524,"A Study Of Daratumumab, Low-Dose Oral Dexamethasone and Cyclophosphamide With Or Without Pomalidomide",Canadian Myeloma Research Group,PHASE2,COMPLETED,2017-10-25,2022-06-24,120.0,DCdP; DCd+P
NCT06005324,"Personalized, Adaptive Treatment for Locally Advanced Head and Neck Cancer",University of Chicago,PHASE1,RECRUITING,2023-12-18,2026-12,36.0,Paclitaxel; Carboplatin; Cetuximab; Standard Dose Radiation; Low Dose Radiation; Cisplatin; TFHX Regimen
NCT04401124,Status of Management of Surgery in Beijing During COVID-19,Beijing Friendship Hospital,N/A,UNKNOWN,2020-05-25,2020-06-07,500.0,no intervention
NCT00005823,Intensive Compared With Nonintensive Chemotherapy in Treating Older Patients With Acute Myeloid Leukemia or Myelodysplastic Syndrome,Leukemia Research Fund,PHASE3,COMPLETED,1998-12,2007-12,2000.0,cytarabine; daunorubicin hydrochloride; etoposide; hydroxyurea; idarubicin; mitoxantrone hydrochloride; thioguanine; tretinoin; valspodar
NCT05601323,A Study of Suizenji in Patients With Unresectable Pancreatic Cancer,SONIRE Therapeutics Inc.,NA,ACTIVE_NOT_RECRUITING,2023-01-31,2027-05-31,90.0,Suizenji; Nal-IRI/FL; mFOLFIRINOX; Gem/nab-PTX
NCT03240523,A Study to Assess Safety and Efficacy of Vilaprisan in Subjects With Uterine Fibroids,Bayer,PHASE3,TERMINATED,2017-07-31,2021-10-25,766.0,Vilaprisan (BAY1002670)
NCT00030823,Vaccine Therapy in Treating Patients at High Risk for Breast Cancer Recurrence,Memorial Sloan Kettering Cancer Center,NA,COMPLETED,2001-03,2009-02,14.0,Globo-H-GM2-Lewis-y-MUC1-32(aa)-sTn(c)-TF(c)-Tn(c)-KLH conjugate vaccine; QS21
NCT00849823,HIV Prevention Program for African American Teen Males,Richard Crosby,NA,COMPLETED,2009-02,2013-09,840.0,Male Sexual Health Program; Focus on the Future Program
NCT00214123,Hypofractionated Radiotherapy for Lung Cancer,"University of Wisconsin, Madison",PHASE1,COMPLETED,2004-06,2012-12,79.0,radiation therapy (radiotherapy)
NCT01685723,Smoking Cessation in Cancer Patients,The University of Hong Kong,NA,COMPLETED,2012-09,2016-03,528.0,Counseling group; General supporting
NCT02997423,Cytochrome C Oxidase Activity in Newly Diagnosed Glioblastoma Multiforme (GBM),University of Iowa,N/A,COMPLETED,2016-11-30,2022-11-30,153.0,
NCT03977623,Genomic Evaluation in Patients With Diffuse Large B Cell Lymphoma After First Relapse/Progression,Samsung Medical Center,N/A,UNKNOWN,2019-09-24,2022-02-28,200.0,
NCT05106023,To Explore the Efficacy and Safety of SHR-1701 Combined With Temozolomide in the Treatment of Advanced Melanoma,Yong Chen,PHASE2,UNKNOWN,2022-01-21,2023-12-31,31.0,SHR-1701; Temozolomide
NCT04408859,Quality of Life in Advanced Gastric Cancer Patients Receiving Neoadjuvant Chemotherapy,Peking University Cancer Hospital & Institute,N/A,UNKNOWN,2018-04-17,2022-01-10,290.0,Neoadjuvant Chemotherapy
NCT05199259,Multi-analyte Blood Test Clinical Trial,Helio Genomics,N/A,RECRUITING,2022-03-01,2028-12,1200.0,Multi-analyte Blood Test
NCT05625659,Comparison of Breast Cancer Screening With CESM to DBT in Women With Dense Breasts,American College of Radiology,NA,RECRUITING,2023-03-24,2027-07-31,2032.0,Dual-Energy Contrast-Enhanced Spectral Mammography (CESM)
NCT01953159,Assessment of Paclitaxel-Induced Neuropathy,University of Chicago,N/A,ACTIVE_NOT_RECRUITING,2013-08-29,2027-12,43.0,Blood Collection; Patient Questionnaires
NCT04042480,A Study of SGN-CD228A in Advanced Solid Tumors,Seagen Inc.,PHASE1,TERMINATED,2019-09-03,2023-03-09,88.0,SGN-CD228A
NCT03716180,DAPHNe: Paclitaxel/Trastuzumab/Pertuzumab in HER2-Positive BC,Dana-Farber Cancer Institute,PHASE1,ACTIVE_NOT_RECRUITING,2018-11-05,2030-09-01,100.0,Paclitaxel; Trastuzumab; Pertuzumab
NCT06566079,Study of ISM6331 in Participants With Advanced/Metastatic Mesothelioma or Other Advanced Solid Tumors,InSilico Medicine Hong Kong Limited,PHASE1,RECRUITING,2024-12-27,2028-02-28,160.0,ISM6331
NCT05042479,Using of Virtual Reality to Relieve Procedural Pain in Pediatric Oncology.,Nantes University Hospital,NA,COMPLETED,2022-06-30,2024-12-24,34.0,Usual distraction and pain prevention techniques.; Virtual reality; Choice between usual distraction or virtual reality
NCT04076579,Trabectedin in Combination With Olaparib in Advanced Unresectable or Metastatic Sarcoma,University of Michigan Rogel Cancer Center,PHASE2,COMPLETED,2020-03-17,2024-09-26,29.0,Olaparib; Trabectedin
NCT07264296,Implant-Related Infections in Patients With Skeletal Sarcomas,Vastra Gotaland Region,N/A,ENROLLING_BY_INVITATION,2025-02-05,2028-01-31,40.0,
NCT06157996,Lenvatinib Plus Tislelizumab and CapeOX as First-Line Treatment for Advanced GC/GEJC With Positive PD-L1 and Low TMEscore,"Nanfang Hospital, Southern Medical University",PHASE2,RECRUITING,2024-06-01,2026-08,92.0,lenvatinib and tislelizumab plus CapeOX chemotherapy; tislelizumab plus CapeOX chemotherapy
NCT05136196,"BiCaZO: A Study Combining Two Immunotherapies (Cabozantinib and Nivolumab) to Treat Patients With Advanced Melanoma or Squamous Cell Head and Neck Cancer, an immunoMATCH Pilot Study",National Cancer Institute (NCI),PHASE2,RECRUITING,2022-12-06,2027-01-01,150.0,Biopsy Procedure; Biospecimen Collection; Cabozantinib S-malate; Computed Tomography; Magnetic Resonance Imaging; Nivolumab
NCT02919696,A Study of Abemaciclib (LY2835219) in Native Chinese Participants With Advanced and/or Metastatic Cancers,Eli Lilly and Company,PHASE1,COMPLETED,2017-08-07,2019-09-03,26.0,Abemaciclib
NCT01067196,"Outcomes Study of Late Effects After Proton RT for Pediatric Tumors of the Brain, Head, and Neck",University of Florida,N/A,COMPLETED,2010-02,2022-05-21,500.0,
NCT07251062,"A Study of SYS6010, Enlonstobart, and Chemotherapy for First-Line Treatment of Esophageal Squamous Cell Carcinoma.","CSPC Megalith Biopharmaceutical Co.,Ltd.",PHASE2,NOT_YET_RECRUITING,2025-12-30,2030-12-30,737.0,SYS6010+SG001+ physician's choice (Capecitabine or 5-FU); Investigator's choice of SOC; SYS6010+SG001
NCT03393962,Intervention of Ovarian Cancer With Antigen-specific Engineered Immune Effectors,Shenzhen Geno-Immune Medical Institute,PHASE1,ENROLLING_BY_INVITATION,2025-12-01,2028-12-31,20.0,OC-EIEs
NCT00094562,A Fish Oil Supplement to Maintain Body Weight in Patients With Disease-Related Weight Loss,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,COMPLETED,2004-06,2007-09,25.0,Fish oil supplement
NCT00150462,Safety Study of the Proteasome Inhibitor PR-171 (Carfilzomib for Injection) in Patients With Hematological Malignancies,Amgen,PHASE1,COMPLETED,2005-09,2009-10,48.0,Carfilzomib; Dexamethasone
NCT00002546,Radiation Therapy Compared With Combination Chemotherapy in Treating Patients With Cancer of the Uterus,Gynecologic Oncology Group,PHASE3,COMPLETED,1993-12,,216.0,cisplatin; ifosfamide; adjuvant therapy; radiation therapy
NCT02921646,Relationship Between Evolution of Resting Energy Expenditure and Tumoral Response to Chemotherapy in Patients Suffering From Pancreas Cancer,Center Eugene Marquis,NA,TERMINATED,2017-07-10,2019-07-10,8.0,Measure of resting energetic expenditure
NCT02250846,Study of EGFR-TKI to Asymptomatic Brain Metastases of NSCLC,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",PHASE2,UNKNOWN,2015-01,2017-01,70.0,EGFR-TKI
NCT07729046,Neu Direction: Testing the Efficacy of Adding HER Inhibition to Standard of Care in Metastatic MLH1-low Endocrine-resistant ER+/HER2- Breast Cancer,"University of California, San Diego",PHASE2,NOT_YET_RECRUITING,2027-07,2035-06,150.0,"Neratinib + endocrine therapy; Endocrine therapy may include one of the following therapies: letrozole, anastrozole, exemestane, tamoxifen or fulvestrant; CDK4/6 + Endocrine therapy"
NCT04042935,Alpha Lipoic Acid to Decrease Pain and Side Effects in Concurrent Treatment of HNSCC,"University of Colorado, Denver",PHASE1,COMPLETED,2020-02-27,2021-09-24,5.0,Alpha Lipoic Acid
NCT07705308,A Prospective Study of Response-adapted Low-dose Radiotherapy Combined With Orelabrutinib for Localized Mucosa-associated Lymphoid Tissue Extranodal Marginal Zone Lymphoma,Ruijin Hospital,PHASE2,NOT_YET_RECRUITING,2026-08-01,2031-05-01,140.0,Radiation (Very low dose); Radiation (Standard)
NCT05491525,"Open-label, Long-term Safety, Efficacy, and Pharmacokinetics Study of Vibegron in Pediatric Subjects 2 Years to < 18 Years of Age With NDO and on CIC",Urovant Sciences GmbH,PHASE2,RECRUITING,2022-10-12,2030-09,71.0,Vibegron
NCT04781725,INVINCIBLE TRIAL: Intratumoral INT230-6 in Breast Cancer,Ottawa Hospital Research Institute,PHASE2,UNKNOWN,2021-03-25,2023-03-01,90.0,INT230-6; Saline injection
NCT07464925,A Phase 1 Safety and Dose Finding Study of GLIX1 in Adults With Recurrent or Progressive High-grade Glioma,Tetragon Biosciences Ltd,PHASE1,RECRUITING,2026-04-20,2027-12,30.0,GLIX1
NCT05226117,"Sacituzumab Govitecan, Preceding Radical Cystectomy, in Treating Patients With Muscle-invasive Bladder Cancer",IRCCS San Raffaele,PHASE2,COMPLETED,2022-03-23,2025-09-24,44.0,Sacituzumab govitecan
NCT04989725,Stereotactic Ablative Radiotherapy for Oligo-Progressive Disease REfractory to Systemic Therapy in Metastatic Cancer,Centre hospitalier de l'Université de Montréal (CHUM),PHASE2,RECRUITING,2021-10-01,2029-03-01,46.0,Standard arm; Experimental arm
NCT02647125,A Study of Comparing Huachansu Plus Thoracic RT Versus RT Alone For ESCC,Fudan University,PHASE2,COMPLETED,2015-09,2022-12,126.0,Huachansu; thoracic radiation
NCT00004225,Gene Therapy Plus Radiation Therapy in Treating Patients With Non-Small Cell Lung Cancer,Eastern Cooperative Oncology Group,PHASE1,COMPLETED,2000-01,,,Ad5CMV-p53 gene; radiation therapy
NCT07748325,Adjuvant Immune Checkpoint Inhibitor Versus Observation After Neoadjuvant Immunochemotherapy and Surgery in High-Risk NSCLC,Sichuan University,PHASE2,RECRUITING,2025-01-10,2028-12-30,100.0,Sintilimab
NCT05679817,How Effective is the Dose-graded Aerobic Training in Children Survivors of Acute Lymphoblastic Leukemia?,Cairo University,NA,COMPLETED,2021-10-03,2022-11-24,58.0,Dose-graded aerobic exercises; Traditional physical rehabilitation
NCT04169178,"Evaluate Safety, Tolerability and PK of HLX55 in Patients With Advanced Solid Tumors With Different cMET Status","Henlix, Inc",PHASE1,UNKNOWN,2020-03-03,2022-12,98.0,HLX55
NCT00374985,Safety and Efficacy of Neoadjuvant Radiochemotherapy in Adenocarcinoma of the Gastric-oesophageal Junction,Johannes Gutenberg University Mainz,PHASE1,COMPLETED,2005-10,2013-09,25.0,"Docetaxel, Oxaliplatin; Radiotherapy"
NCT06885385,A Phase 2 Study Evaluating the Safety and Efficacy of JS207 With or Without JS015 in Combination With Chemotherapy in Patients With Colorectal Cancer,"Shanghai Junshi Bioscience Co., Ltd.",PHASE2,RECRUITING,2025-04-23,2027-02-13,60.0,JS207; JS015; Capecitabine; Oxaliplatin
NCT00273585,Study of Using Computerized Education to Increase Patients' Confidence in Their Ability to Be Screened for Colon Cancer,"University of California, Davis",PHASE3,COMPLETED,2005-08,2006-02,100.0,Personally-tailored educational software program
NCT02461043,Adjuvant Chemotherapy With Paclitaxel and Cisplatin in Lymph Node-Positive Adjuvant Chemotherapy in the Treatment of the Lymph Node Positive Thoracic Esophageal Squamous Cell Carcinoma,Chinese Academy of Medical Sciences,PHASE3,UNKNOWN,2015-04,2023-12,386.0,paclitaxel; cisplatin; radiation
NCT05122585,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,Zuyderland Medisch Centrum,NA,COMPLETED,2021-08-01,2022-02-09,40.0,MagSeed and MagTrace in breast cancer patiënts
NCT07545291,"A Spiritual Health Intervention (PATH) for Improving Spiritual, Religious and Emotional Distress in Cancer Patients",Fred Hutchinson Cancer Center,NA,NOT_YET_RECRUITING,2026-12-01,2027-03-31,20.0,Spiritual Therapy; Survey Administration; Interview
NCT07419191,Role of Endoscopic Ultrasound Elastography in Diagnosis of Gastrointestinal Subepithelial and Mediastinal Lesions,Assiut University,N/A,NOT_YET_RECRUITING,2026-02-08,2027-12-30,35.0,
NCT04751591,Study On Safety Of Endoscopic Resection For 2-5cm Gastric Gastrointestinal Stromal Tumor,Shanghai Zhongshan Hospital,NA,UNKNOWN,2021-12-15,2024-06-30,260.0,Endoscopic resection; Laparoscopic partial gastrectomy
NCT00816374,Tailored Intervention for Melanoma Patient's Families,Fox Chase Cancer Center,NA,COMPLETED,2005-08,2011-05,553.0,Reading materials and discussions; Reading materials and discussions; Questionnaires
NCT06046274,GEN1046 in Combination With Anticancer Agents for the Treatment of Advanced Endometrial Cancer,Genmab,PHASE2,WITHDRAWN,2023-10-01,2028-06-01,0.0,Pembrolizumab; Acasunlimab
NCT02039674,A Study of Pembrolizumab (MK-3475) in Combination With Chemotherapy or Immunotherapy in Participants With Non-small Cell Lung Cancer (MK-3475-021/KEYNOTE-021),Merck Sharp & Dohme LLC,PHASE1,COMPLETED,2014-02-21,2021-10-18,267.0,Pembrolizumab; Paclitaxel; Carboplatin; Bevacizumab; Pemetrexed; Ipilimumab; Erlotinib; Gefitinib
NCT01832974,Possible New Therapy for Advanced Cancer,INSYS Therapeutics Inc,PHASE1,TERMINATED,2012-12,2014-09,9.0,IL-13-PE
NCT02759718,Clinical Effectiveness of Serum Chromogranin A Levels on Diagnostic of Pancreatic Neuroendocrine Tumors,Asan Medical Center,PHASE4,UNKNOWN,2012-06,2017-05,111.0,Chromogranin A
NCT04599218,MR/TRUS Fusion Guided Prostate Biopsy - An Improved Way to Detect and Quantify Prostate Cancer,Ardeshir Rastinehad,NA,UNKNOWN,2020-08-21,2026-01-15,1586.0,Prostate Biopsy; MR US Fusion Guided Prostate Biopsy; MR/TRUS Fusion Guided Prostate Biopsy
NCT01930474,Analysis of Plasma Tumor DNA in Lung Cancer Patients,Seoul National University Hospital,N/A,UNKNOWN,2013-07,,200.0,
